red_fighter_name;blue_fighter_name;event_date;red_fighter_total_pts;blue_fighter_total_pts
POLIANA BOTELHO;LUANA CAROLINA;01/05/2021;29 28 28;28 29 29
KAI KAMAKA;TJ BROWN;01/05/2021;28 28 30;29 29 27
MERAB DVALISHVILI;CODY STAMANN;01/05/2021;30 29 29;27 28 28
RANDA MARKOS;LUANA PINHEIRO;01/05/2021;- - -;- - -
ANDREAS MICHAILIDIS;KB BHULLAR;01/05/2021;29 30 30;28 27 27
LOMA LOOKBOONMEE;SAM HUGHES;01/05/2021;29 29 29;28 28 28
LUKE SANDERS;FELIPE COLARES;01/05/2021;28 28 28;29 29 29
GIGA CHIKADZE;CUB SWANSON;01/05/2021;- - -;- - -
DOMINICK REYES;JIRI PROCHAZKA;01/05/2021;9 9 9;10 10 10
ION CUTELABA;DUSTIN JACOBY;01/05/2021;28 29 28;29 28 28
SEAN STRICKLAND;KRZYSZTOF JOTKO;01/05/2021;30 29 30;27 28 27
SEAN STRICKLAND;PAULO COSTA;01/06/2024;49 50 46;46 45 49
KEVIN HOLLAND;MICHAL OLEKSIEJCZUK;01/06/2024;- - -;- - -
MITCH RAPOSO;ANDRE LIMA;01/06/2024;27 27 29;30 30 28
PHIL ROWE;JAKE MATTHEWS;01/06/2024;28 27 28;29 30 29
GRANT DAWSON;JOE SOLECKI;01/06/2024;29 30 30;28 27 27
MICKEY GALL;BASSIL HAFEZ;01/06/2024;27 27 28;30 30 29
AILIN PEREZ;JOSELYNE EDWARDS;01/06/2024;29 29 30;28 28 27
ISLAM MAKHACHEV;DUSTIN POIRIER;01/06/2024;39 39 38;37 37 38
JAILTON ALMEIDA;ALEXANDR ROMANOV;01/06/2024;- - -;- - -
CESAR ALMEIDA;ROMAN KOPYLOV;01/06/2024;28 27 29;29 30 28
NIKO PRICE;ALEX MORONO;01/06/2024;29 29 29;28 28 28
RANDY BROWN;ELIZEU ZALESKI DOS SANTOS;01/06/2024;29 29 29;28 28 28
ARIANE DA SILVA;MELISSA GATTO;01/07/2023;28 30 29;29 27 28
MAX GRIFFIN;MICHAEL MORALES;01/07/2023;28 28 28;29 29 29
BRUNNO FERREIRA;NURSULTON RUZIBOEV;01/07/2023;- - -;- - -
ISMAEL BONFIM;BENOIT SAINT DENIS;01/07/2023;- - -;- - -
KEVIN LEE;RINAT FAKHRETDINOV;01/07/2023;- - -;- - -
SEAN STRICKLAND;ABUS MAGOMEDOV;01/07/2023;9 9 9;10 10 10
DAMIR ISMAGULOV;GRANT DAWSON;01/07/2023;26 27 27;30 30 30
JOANDERSON BRITO;WESTIN WILSON;01/07/2023;- - -;- - -
ALEXANDR ROMANOV;BLAGOY IVANOV;01/07/2023;30 30 30;27 27 27
IVANA PETROVIC;LUANA CAROLINA;01/07/2023;28 28 28;29 29 29
YANA SANTOS;KAROL ROSA;01/07/2023;29 28 28;28 29 29
GURAM KUTATELADZE;ELVES BRENER;01/07/2023;20 20 20;18 18 18
ILIR LATIFI;ALEKSEI OLEINIK;01/10/2022;30 30 30;27 27 27
JOAQUIM SILVA;JESSE RONSON;01/10/2022;10 10 10;9 9 9
JOHN CASTANEDA;DANIEL SANTOS;01/10/2022;10 10 10;9 9 9
GUIDO CANNETTI;RANDY COSTA;01/10/2022;- - -;- - -
MIKE DAVIS;VIACHESLAV BORSHCHEV;01/10/2022;29 30 30;28 26 26
KRZYSZTOF JOTKO;BRENDAN ALLEN;01/10/2022;- - -;- - -
RAONI BARCELOS;TREVIN JONES;01/10/2022;30 30 30;25 27 27
SODIQ YUSUFF;DON SHAINIS;01/10/2022;- - -;- - -
JULIJA STOLIARENKO;CHELSEA CHANDLER;01/10/2022;- - -;- - -
MACKENZIE DERN;YAN XIAONAN;01/10/2022;47 47 47;48 48 47
RANDY BROWN;FRANCISCO TRINALDO;01/10/2022;29 29 29;28 28 28
CHRISTIAN LEROY DUNCAN;CLAUDIO RIBEIRO;02/03/2024;10 10 10;9 9 9
LUDOVIT KLEIN;AJ CUNNINGHAM;02/03/2024;- - -;- - -
ABDUL-KAREEM AL-SELWADY;LOIK RADZHABOV;02/03/2024;19 19 19;19 19 19
VINICIUS OLIVEIRA;BENARDO SOPAJ;02/03/2024;19 19 19;19 19 19
JAIRZINHO ROZENSTRUIK;SHAMIL GAZIEV;02/03/2024;38 39 40;38 37 36
VITOR PETRINO;TYSON PEDRO;02/03/2024;30 30 29;27 27 28
AIEMANN ZAHABI;JAVID BASHARAT;02/03/2024;29 29 29;28 28 28
ERYK ANDERS;JAMIE PICKETT;02/03/2024;29 29 29;27 28 28
