red_fighter_name;blue_fighter_name;event_date;red_fighter_result;blue_fighter_result;fight_outcome;method;round;time;time_format;bout_type;event_name;event_location;red_fighter_KD;blue_fighter_KD;red_fighter_sig_str_pct;blue_fighter_sig_str_pct;red_fighter_total_str_pct;blue_fighter_total_str_pct;red_fighter_TD_pct;blue_fighter_TD_pct;red_fighter_sub_att;blue_fighter_sub_att;red_fighter_rev;blue_fighter_rev;red_fighter_ctrl;blue_fighter_ctrl;red_fighter_sig_str_head_acc_pct;blue_fighter_sig_str_head_acc_pct;red_fighter_sig_str_body_acc_pct;blue_fighter_sig_str_body_acc_pct;red_fighter_sig_str_leg_acc_pct;blue_fighter_sig_str_leg_acc_pct;red_fighter_sig_str_distance_acc_pct;blue_fighter_sig_str_distance_acc_pct;red_fighter_sig_str_clinch_acc_pct;blue_fighter_sig_str_clinch_acc_pct;red_fighter_sig_str_ground_acc_pct;blue_fighter_sig_str_ground_acc_pct;red_fighter_sig_str_head_tar_pct;blue_fighter_sig_str_head_tar_pct;red_fighter_sig_str_body_tar_pct;blue_fighter_sig_str_body_tar_pct;red_fighter_sig_str_leg_tar_pct;blue_fighter_sig_str_leg_tar_pct;red_fighter_sig_str_distance_pos_pct;blue_fighter_sig_str_distance_pos_pct;red_fighter_sig_str_clinch_pos_pct;blue_fighter_sig_str_clinch_pos_pct;red_fighter_sig_str_ground_pos_pct;blue_fighter_sig_str_ground_pos_pct;red_fighter_height;red_fighter_reach;red_fighter_stance;red_fighter_slpm_cs;red_fighter_str_acc_cs;red_fighter_sapm_cs;red_fighter_str_def_cs;red_fighter_td_avg_cs;red_fighter_td_acc_cs;red_fighter_td_def_cs;red_fighter_sub_avg_cs;blue_fighter_height;blue_fighter_reach;blue_fighter_stance;blue_fighter_slpm_cs;blue_fighter_str_acc_cs;blue_fighter_sapm_cs;blue_fighter_str_def_cs;blue_fighter_td_avg_cs;blue_fighter_td_acc_cs;blue_fighter_td_def_cs;blue_fighter_sub_avg_cs;winner
JOSH EMMETT;KEVIN VALLEJOS;14/03/2026;L;W;blue_win;KO/TKO;1.0;3:33;5 Rnd (5-5-5-5-5);Featherweight Bout;UFC Fight Night: Emmett vs. Vallejos;Las Vegas, Nevada, USA;0.0;2.0;25.0;65.0;25.0;63.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0;18.18;61.22;100.0;100.0;0.0;100.0;25.0;57.14;0.0;71.43;0.0;70.0;66.0;83.0;33.0;11.0;0.0;5.0;100.0;33.0;0.0;27.0;0.0;38.0;167.64;177.8;Orthodox;4.32;39.0;4.02;63.0;1.43;47.0;50.0;0.1;;;;;;;;;;;;blue
AMANDA LEMOS;GILLIAN ROBERTSON;14/03/2026;L;W;blue_win;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Women's Strawweight Bout;UFC Fight Night: Emmett vs. Vallejos;Las Vegas, Nevada, USA;0.0;0.0;57.0;46.0;60.71;79.01;100.0;42.0;1.0;0.0;1.0;2.0;124.0;557.0;50.82;41.67;100.0;50.0;75.0;50.0;47.37;43.48;100.0;100.0;92.86;50.0;73.0;41.0;19.0;16.0;7.0;41.0;64.0;83.0;4.0;8.0;30.0;8.0;162.56;165.1;Southpaw;6.21;64.0;5.39;45.0;1.98;100.0;100.0;0.5;165.1;160.02;Orthodox;2.05;51.0;2.1;51.0;2.64;46.0;0.0;0.9;blue
ION CUTELABA;OUMAR SY;14/03/2026;W;L;red_win;Submission;1.0;4:24;3 Rnd (5-5-5);Light Heavyweight Bout;UFC Fight Night: Emmett vs. Vallejos;Las Vegas, Nevada, USA;0.0;0.0;70.0;45.0;81.63;45.45;50.0;0.0;1.0;0.0;0.0;0.0;147.0;18.0;44.44;14.29;80.0;0.0;100.0;100.0;66.67;45.45;100.0;0.0;75.0;0.0;28.0;20.0;28.0;0.0;42.0;80.0;71.0;100.0;7.0;0.0;21.0;0.0;185.42;190.5;Southpaw;5.1;39.0;3.37;48.0;2.41;71.0;80.0;0.0;;;;;;;;;;;;red
MARWAN RAHIKI;HARRY HARDWICK;14/03/2026;W;L;red_win;KO/TKO;2.0;5:00;3 Rnd (5-5-5);Featherweight Bout;UFC Fight Night: Emmett vs. Vallejos;Las Vegas, Nevada, USA;0.0;0.0;54.0;43.0;54.39;46.34;0.0;0.0;0.0;0.0;0.0;0.0;95.0;44.0;47.62;33.33;72.0;84.62;92.31;78.95;55.0;43.92;50.0;0.0;0.0;0.0;66.0;60.0;20.0;16.0;13.0;23.0;97.0;100.0;2.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;red
ANDRE FILI;JOSE DELGADO;14/03/2026;L;W;blue_win;Decision - Split;3.0;5:00;3 Rnd (5-5-5);Featherweight Bout;UFC Fight Night: Emmett vs. Vallejos;Las Vegas, Nevada, USA;0.0;0.0;43.0;55.0;45.45;57.54;66.0;33.0;0.0;0.0;1.0;0.0;59.0;36.0;38.02;37.37;84.62;72.34;71.43;100.0;43.88;54.25;0.0;64.29;50.0;100.0;74.0;39.0;17.0;36.0;8.0;24.0;98.0;88.0;0.0;9.0;1.0;2.0;180.34;187.96;Orthodox;3.73;36.0;3.9;52.0;2.5;49.0;64.0;0.2;;;;;;;;;;;;blue
CHARLES JOHNSON;BRUNO SILVA;14/03/2026;W;L;red_win;Decision - Split;3.0;5:00;3 Rnd (5-5-5);Flyweight Bout;UFC Fight Night: Emmett vs. Vallejos;Las Vegas, Nevada, USA;0.0;0.0;52.0;53.0;58.2;59.06;0.0;0.0;0.0;0.0;0.0;0.0;6.0;223.0;42.57;49.06;65.22;66.67;80.0;77.78;46.21;54.2;80.0;40.0;0.0;0.0;50.0;71.0;35.0;19.0;14.0;9.0;71.0;97.0;28.0;2.0;0.0;0.0;;;;;;;;;;;;182.88;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;red
BIA MESQUITA;MONTSE RENDON;14/03/2026;W;L;red_win;Submission;1.0;2:07;3 Rnd (5-5-5);Women's Bantamweight Bout;UFC Fight Night: Emmett vs. Vallejos;Las Vegas, Nevada, USA;0.0;0.0;66.0;0.0;77.5;0.0;100.0;0.0;1.0;0.0;0.0;0.0;106.0;0.0;64.0;0.0;100.0;0.0;100.0;0.0;100.0;0.0;0.0;0.0;60.0;0.0;88.0;0.0;5.0;0.0;5.0;0.0;33.0;0.0;0.0;0.0;66.0;0.0;;;;;;;;;;;;;;;;;;;;;;;red
VITOR PETRINO;STEVEN ASPLUND;14/03/2026;W;L;red_win;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Heavyweight Bout;UFC Fight Night: Emmett vs. Vallejos;Las Vegas, Nevada, USA;0.0;1.0;57.0;38.0;56.79;42.44;0.0;0.0;0.0;0.0;0.0;0.0;77.0;12.0;46.83;34.29;100.0;50.0;88.24;90.0;57.5;37.66;0.0;50.0;0.0;100.0;64.0;78.0;19.0;6.0;16.0;14.0;100.0;95.0;0.0;1.0;0.0;3.0;;;;;;;;;;;;;;;;;;;;;;;red
CHRIS CURTIS;MYKTYBEK OROLBAI;14/03/2026;L;W;blue_win;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Welterweight Bout;UFC Fight Night: Emmett vs. Vallejos;Las Vegas, Nevada, USA;0.0;0.0;38.0;71.0;70.37;81.37;0.0;79.0;0.0;0.0;0.0;0.0;6.0;753.0;24.0;72.22;100.0;75.0;0.0;66.67;32.14;50.0;100.0;100.0;100.0;82.35;50.0;65.0;50.0;15.0;0.0;20.0;75.0;25.0;16.0;5.0;8.0;70.0;177.8;;Orthodox;7.23;70.0;5.34;60.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;blue
PIERA RODRIGUEZ;SAM HUGHES;14/03/2026;W;L;red_win;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Women's Strawweight Bout;UFC Fight Night: Emmett vs. Vallejos;Las Vegas, Nevada, USA;0.0;0.0;46.0;53.0;46.84;56.88;16.0;0.0;0.0;0.0;0.0;0.0;155.0;22.0;31.9;42.73;81.82;76.47;76.92;100.0;38.3;49.24;80.95;100.0;100.0;0.0;48.0;61.0;42.0;16.0;9.0;22.0;67.0;84.0;31.0;15.0;0.0;0.0;;;;;;;;;;;;165.1;162.56;Orthodox;4.0;37.0;10.4;49.0;0.0;0.0;0.0;0.0;red
