public_name,ufc_name,reason,evidence_events
Renato Carneiro,Renato Moicano,ring name replaces family name,20
Konklak Suphisara,Loma Lookboonmee,Thai ring name,8
Amanda Bobby Brundage,Amanda Cooper,married name,5
Montserrat Ruiz,Montserrat Conejo Ruiz,compound family name,5
Rony Mariano Bezerra,Rony Jason,ring name replaces family name,4
Mizuki Inoue,Mizuki,mononym in UFC source,4
Maheshate Hayisaer,Maheshate,mononym in UFC source,4
Alvaro Herrera,Alvaro Herrera Mendoza,compound family name,3
Alberto Emiliano Pereira,Alberto Uda,ring name replaces family name,2
Lijiburen Wu,Wulijiburen,transliteration joins given and family name,2
Patricio Freire,Patricio Pitbull,ring name replaces family name,1
